SALES,COST_OF_SALES,QUANTITY_SOLD,GROSS_PROFIT,DAILY_UNIT_PRICE,DAILY_GROSS_PROFIT_PERCENT,DAILY_GROSS_PROFIT_PER_UNIT
20495.11303,18375.05261,508,2120.06042,40.34471068898,10.34422409300,4.17334728346
22334.21253,19704.09315,521,2630.11938,42.86797030710,11.77619034700,5.04821378119
23234.18320,24104.08598,604,-869.90278,38.46719072848,-3.74406439200,-1.44023639073
24754.95718,25407.17407,643,-652.21689,38.49915580093,-2.63469205500,-1.01433419907
26870.32387,23516.04172,641,3354.28215,41.91938201248,12.48322188500,5.23288946958
27210.40663,23570.15916,647,3640.24747,42.05626990726,13.37814432400,5.62634848532
29751.22261,28084.23513,760,1666.98748,39.14634553947,5.60308899500,2.19340457895
30066.12618,25872.48835,715,4193.63783,42.05052612587,13.94804839500,5.86522773427
30194.71596,28605.46080,773,1589.25516,39.06172827943,5.26335522400,2.05595751617
30371.43134,26054.84917,709,4316.58217,42.83699765867,14.21263990400,6.08826822285
30423.39146,26053.79672,723,4369.59474,42.07937961272,14.36261550800,6.04369950207
30424.72626,27398.58813,755,3026.13813,40.29765067550,9.94631177300,4.00812997351
30831.69463,26577.07945,733,4254.61518,42.06233919509,13.79948533800,5.80438633015
31023.35977,27817.64247,768,3205.71730,40.39499970052,10.33323703100,4.17411106771
31219.95153,26893.30468,737,4326.64685,42.36085689281,13.85859566700,5.87061987788
32479.79639,30763.68812,829,1716.10827,39.17948901086,5.28361769700,2.07009441496
33225.67047,28489.08140,790,4736.58907,42.05781072152,14.25581185600,5.99568236709
34348.50419,32292.83760,817,2055.66659,42.04223279070,5.98473394500,2.51611577723
34406.75001,29884.33059,818,4522.41942,42.06204157702,13.14398895200,5.52863009780
35014.39948,30393.74012,832,4620.65936,42.08461475962,13.19645468300,5.55367711538
35165.97208,36841.96732,922,-1675.99524,38.14096754881,-4.76595737500,-1.81778225597
35169.91581,30133.31864,836,5036.59717,42.06927728469,14.32075412800,6.02463776316
36113.93487,31885.28845,896,4228.64642,40.30573088170,11.70918216300,4.71947145089
36692.67986,35299.06424,1047,1393.61562,35.04553950334,3.79807532500,1.33105598854
36851.76375,31574.32547,876,5277.43828,42.06822345890,14.32072102700,6.02447292237
37155.58848,34962.83050,883,2192.75798,42.07880915062,5.90155632000,2.48330462061
37453.00618,35108.20011,892,2344.80607,41.98767508969,6.26066185100,2.62870635650
37672.44729,33678.45927,877,3993.98802,42.95604023945,10.60188097000,4.55414825542
